 ,Area,Mean,Min,Max,IntDen,RawIntDen
455,225,255,255,255,57375,57375
456,285,255,255,255,72675,72675
457,288,255,255,255,73440,73440
458,318,255,255,255,81090,81090
459,316,255,255,255,80580,80580
460,373,255,255,255,95115,95115
461,322,255,255,255,82110,82110
462,493,255,255,255,125715,125715
463,439,255,255,255,111945,111945
464,327,255,255,255,83385,83385
465,281,255,255,255,71655,71655
466,351,255,255,255,89505,89505
467,300,255,255,255,76500,76500
468,216,255,255,255,55080,55080
469,307,255,255,255,78285,78285
470,293,255,255,255,74715,74715
471,184,255,255,255,46920,46920
472,336,255,255,255,85680,85680
473,279,255,255,255,71145,71145
474,312,255,255,255,79560,79560
475,296,255,255,255,75480,75480
476,471,255,255,255,120105,120105
477,237,255,255,255,60435,60435
478,340,255,255,255,86700,86700
479,388,255,255,255,98940,98940
480,432,255,255,255,110160,110160
481,367,255,255,255,93585,93585
482,417,255,255,255,106335,106335
483,305,255,255,255,77775,77775
484,244,255,255,255,62220,62220
485,388,255,255,255,98940,98940
486,494,255,255,255,125970,125970
487,254,255,255,255,64770,64770
488,290,255,255,255,73950,73950
489,277,255,255,255,70635,70635
490,286,255,255,255,72930,72930
491,315,255,255,255,80325,80325
492,301,255,255,255,76755,76755
493,336,255,255,255,85680,85680
494,316,255,255,255,80580,80580
495,457,255,255,255,116535,116535
496,418,255,255,255,106590,106590
497,292,255,255,255,74460,74460
498,331,255,255,255,84405,84405
499,286,255,255,255,72930,72930
500,328,255,255,255,83640,83640
501,276,255,255,255,70380,70380
502,289,255,255,255,73695,73695
503,287,255,255,255,73185,73185
504,287,255,255,255,73185,73185
505,289,255,255,255,73695,73695
506,280,255,255,255,71400,71400
507,262,255,255,255,66810,66810
508,280,255,255,255,71400,71400
509,277,255,255,255,70635,70635
510,331,255,255,255,84405,84405
511,447,255,255,255,113985,113985
512,375,255,255,255,95625,95625
513,415,255,255,255,105825,105825
514,299,255,255,255,76245,76245
515,235,255,255,255,59925,59925
516,332,255,255,255,84660,84660
517,496,255,255,255,126480,126480
518,264,255,255,255,67320,67320
519,283,255,255,255,72165,72165
520,287,255,255,255,73185,73185
521,275,255,255,255,70125,70125
522,366,255,255,255,93330,93330
523,307,255,255,255,78285,78285
524,309,255,255,255,78795,78795
525,426,255,255,255,108630,108630
526,362,255,255,255,92310,92310
527,293,255,255,255,74715,74715
528,267,255,255,255,68085,68085
529,374,255,255,255,95370,95370
530,309,255,255,255,78795,78795
531,308,255,255,255,78540,78540
532,303,255,255,255,77265,77265
533,258,255,255,255,65790,65790
534,269,255,255,255,68595,68595
535,400,255,255,255,102000,102000
536,303,255,255,255,77265,77265
537,268,255,255,255,68340,68340
538,295,255,255,255,75225,75225
539,293,255,255,255,74715,74715
540,310,255,255,255,79050,79050
541,309,255,255,255,78795,78795
542,314,255,255,255,80070,80070
543,274,255,255,255,69870,69870
544,378,255,255,255,96390,96390
545,332,255,255,255,84660,84660
546,301,255,255,255,76755,76755
547,268,255,255,255,68340,68340
548,254,255,255,255,64770,64770
549,309,255,255,255,78795,78795
550,423,255,255,255,107865,107865
551,229,255,255,255,58395,58395
552,428,255,255,255,109140,109140
553,447,255,255,255,113985,113985
554,290,255,255,255,73950,73950
555,305,255,255,255,77775,77775
556,488,255,255,255,124440,124440
557,486,255,255,255,123930,123930
558,314,255,255,255,80070,80070
559,302,255,255,255,77010,77010
560,282,255,255,255,71910,71910
561,314,255,255,255,80070,80070
562,272,255,255,255,69360,69360
563,302,255,255,255,77010,77010
564,446,255,255,255,113730,113730
565,354,255,255,255,90270,90270
566,405,255,255,255,103275,103275
567,400,255,255,255,102000,102000
568,329,255,255,255,83895,83895
569,286,255,255,255,72930,72930
570,278,255,255,255,70890,70890
571,218,255,255,255,55590,55590
572,312,255,255,255,79560,79560
573,454,255,255,255,115770,115770
574,281,255,255,255,71655,71655
575,273,255,255,255,69615,69615
576,288,255,255,255,73440,73440
577,486,255,255,255,123930,123930
578,293,255,255,255,74715,74715
579,419,255,255,255,106845,106845
580,252,255,255,255,64260,64260
581,272,255,255,255,69360,69360
582,254,255,255,255,64770,64770
583,163,255,255,255,41565,41565
584,338,255,255,255,86190,86190
585,453,255,255,255,115515,115515
586,336,255,255,255,85680,85680
587,299,255,255,255,76245,76245
588,348,255,255,255,88740,88740
589,261,255,255,255,66555,66555
590,494,255,255,255,125970,125970
591,280,255,255,255,71400,71400
592,335,255,255,255,85425,85425
593,422,255,255,255,107610,107610
594,326,255,255,255,83130,83130
595,325,255,255,255,82875,82875
596,200,255,255,255,51000,51000
597,276,255,255,255,70380,70380
598,342,255,255,255,87210,87210
599,309,255,255,255,78795,78795
600,332,255,255,255,84660,84660
601,363,255,255,255,92565,92565
602,286,255,255,255,72930,72930
603,393,255,255,255,100215,100215
604,300,255,255,255,76500,76500
605,424,255,255,255,108120,108120
606,263,255,255,255,67065,67065
607,373,255,255,255,95115,95115
608,281,255,255,255,71655,71655
609,294,255,255,255,74970,74970
610,307,255,255,255,78285,78285
611,332,255,255,255,84660,84660
612,293,255,255,255,74715,74715
613,300,255,255,255,76500,76500
614,301,255,255,255,76755,76755
615,415,255,255,255,105825,105825
616,339,255,255,255,86445,86445
617,371,255,255,255,94605,94605
618,296,255,255,255,75480,75480
619,443,255,255,255,112965,112965
620,332,255,255,255,84660,84660
621,288,255,255,255,73440,73440
622,265,255,255,255,67575,67575
623,301,255,255,255,76755,76755
624,470,255,255,255,119850,119850
625,307,255,255,255,78285,78285
626,289,255,255,255,73695,73695
627,236,255,255,255,60180,60180
628,291,255,255,255,74205,74205
629,310,255,255,255,79050,79050
630,377,255,255,255,96135,96135
631,371,255,255,255,94605,94605
632,288,255,255,255,73440,73440
633,310,255,255,255,79050,79050
634,303,255,255,255,77265,77265
635,368,255,255,255,93840,93840
636,273,255,255,255,69615,69615
637,299,255,255,255,76245,76245
638,304,255,255,255,77520,77520
639,440,255,255,255,112200,112200
640,274,255,255,255,69870,69870
641,438,255,255,255,111690,111690
642,498,255,255,255,126990,126990
643,281,255,255,255,71655,71655
644,305,255,255,255,77775,77775
645,296,255,255,255,75480,75480
646,311,255,255,255,79305,79305
647,422,255,255,255,107610,107610
648,221,255,255,255,56355,56355
649,329,255,255,255,83895,83895
650,474,255,255,255,120870,120870
651,378,255,255,255,96390,96390
652,431,255,255,255,109905,109905
653,187,255,255,255,47685,47685
654,155,255,255,255,39525,39525
655,274,255,255,255,69870,69870
656,455,255,255,255,116025,116025
657,314,255,255,255,80070,80070
658,295,255,255,255,75225,75225
659,318,255,255,255,81090,81090
660,435,255,255,255,110925,110925
661,351,255,255,255,89505,89505
662,283,255,255,255,72165,72165
663,328,255,255,255,83640,83640
664,340,255,255,255,86700,86700
665,362,255,255,255,92310,92310
666,387,255,255,255,98685,98685
667,441,255,255,255,112455,112455
668,313,255,255,255,79815,79815
669,379,255,255,255,96645,96645
670,390,255,255,255,99450,99450
671,436,255,255,255,111180,111180
672,437,255,255,255,111435,111435
673,381,255,255,255,97155,97155
674,331,255,255,255,84405,84405
675,334,255,255,255,85170,85170
676,159,255,255,255,40545,40545
677,422,255,255,255,107610,107610
678,333,255,255,255,84915,84915
679,329,255,255,255,83895,83895
680,315,255,255,255,80325,80325
681,434,255,255,255,110670,110670
682,277,255,255,255,70635,70635
683,312,255,255,255,79560,79560
684,355,255,255,255,90525,90525
685,291,255,255,255,74205,74205
686,252,255,255,255,64260,64260
687,437,255,255,255,111435,111435
688,372,255,255,255,94860,94860
689,344,255,255,255,87720,87720
690,305,255,255,255,77775,77775
691,325,255,255,255,82875,82875
692,280,255,255,255,71400,71400
693,323,255,255,255,82365,82365
694,328,255,255,255,83640,83640
695,329,255,255,255,83895,83895
696,424,255,255,255,108120,108120
697,311,255,255,255,79305,79305
698,309,255,255,255,78795,78795
699,494,255,255,255,125970,125970
700,334,255,255,255,85170,85170
701,336,255,255,255,85680,85680
702,463,255,255,255,118065,118065
703,338,255,255,255,86190,86190
704,306,255,255,255,78030,78030
705,244,255,255,255,62220,62220
706,333,255,255,255,84915,84915
707,308,255,255,255,78540,78540
708,425,255,255,255,108375,108375
709,469,255,255,255,119595,119595
710,278,255,255,255,70890,70890
711,279,255,255,255,71145,71145
712,328,255,255,255,83640,83640
713,464,255,255,255,118320,118320
714,419,255,255,255,106845,106845
715,340,255,255,255,86700,86700
716,330,255,255,255,84150,84150
717,340,255,255,255,86700,86700
718,469,255,255,255,119595,119595
719,256,255,255,255,65280,65280
720,314,255,255,255,80070,80070
721,317,255,255,255,80835,80835
722,326,255,255,255,83130,83130
723,326,255,255,255,83130,83130
724,317,255,255,255,80835,80835
725,326,255,255,255,83130,83130
726,346,255,255,255,88230,88230
727,312,255,255,255,79560,79560
728,289,255,255,255,73695,73695
729,362,255,255,255,92310,92310
730,315,255,255,255,80325,80325
731,410,255,255,255,104550,104550
732,292,255,255,255,74460,74460
733,458,255,255,255,116790,116790
734,299,255,255,255,76245,76245
735,192,255,255,255,48960,48960
736,296,255,255,255,75480,75480
737,282,255,255,255,71910,71910
738,370,255,255,255,94350,94350
739,310,255,255,255,79050,79050
740,332,255,255,255,84660,84660
741,337,255,255,255,85935,85935
742,360,255,255,255,91800,91800
743,344,255,255,255,87720,87720
744,289,255,255,255,73695,73695
745,291,255,255,255,74205,74205
746,451,255,255,255,115005,115005
747,320,255,255,255,81600,81600
748,469,255,255,255,119595,119595
749,330,255,255,255,84150,84150
750,293,255,255,255,74715,74715
751,342,255,255,255,87210,87210
752,207,255,255,255,52785,52785
753,285,255,255,255,72675,72675
754,280,255,255,255,71400,71400
755,296,255,255,255,75480,75480
756,305,255,255,255,77775,77775
757,440,255,255,255,112200,112200
758,349,255,255,255,88995,88995
